state	age	poverty	householdIncome	smokes	lacksHealthcare	obese
Alabama	38.6	19.2	42830.00	21.5	17.4	32.1
Alaska	33.3	11.4	71583.00	19	11.9	27.2
Arizona	36.9	18.2	50068.00	14.7	15.5	26.3
Arkansas	37.8	18.7	41262.00	23.6	18.2	33
California	36	16.4	61933.00	11	13.5	23.9
Colorado	36.3	12.1	61303.00	15.6	13.1	20.3
Connecticut	40.5	10.8	70048.00	13.3	11.3	24.9
Delaware	39.6	13	59716.00	17.7	10.8	28.5
District of Columbia	33.8	18.4	71648.00	14.7	12.3	22.9
Florida	41.6	16.6	47463.00	15.5	17.6	26
Georgia	36.1	18.4	49321.00	17.9	19	27.1
Hawaii	38.1	11.5	69592.00	13.1	8.7	19
Idaho	35.9	14.8	47861.00	15.9	15.8	24.2
Illinois	37.5	14.3	57444.00	16.5	12.4	27.3
Indiana	37.4	15.2	49446.00	22.9	15.1	31.4
Iowa	38.2	12.3	53712.00	18.5	8.8	31.1
Kansas	36.2	13.5	52504.00	18.1	12.5	29.3
Kentucky	38.5	19	42958.00	26.2	15.9	31.5
Louisiana	36.1	19.9	44555.00	24	17.5	33.2
Maine	44.1	14	49462.00	19.3	10.9	25.9
Maryland	38.3	10.4	73971.00	14.6	10.1	26.6
Massachusetts	39.4	11.7	69160.00	14.7	8.3	24
Michigan	39.6	16.2	49847.00	21.2	14.6	30.8
Minnesota	37.8	11.4	61481.00	16.3	9.2	24.8
Mississippi	36.7	21.9	39680.00	23	19.4	35.2
Missouri	38.5	15.5	48363.00	20.6	13.7	30.9
Montana	39.6	15.2	46328.00	19.9	11.9	23.5
Nebraska	36.2	12.3	52686.00	17.3	11.8	28.8
Nevada	37.4	15.4	51450.00	17	17.3	26.8
New Hampshire	42.5	9.2	66532.00	17.5	11.1	27.1
New Jersey	39.4	11.1	71919.00	15.1	14	26.2
New Mexico	37.2	20.6	44803.00	19.1	17.2	28
New York	38.2	15.9	58878.00	14.4	14	24.7
North Carolina	38.3	17.2	46556.00	19.1	16.2	28.3
North Dakota	35.1	11.1	59029.00	19.9	7	28.6
Ohio	39.4	15.8	49308.00	21	13.1	29.9
Oklahoma	36.2	16.6	47529.00	21.1	15	32.6
Oregon	39.3	16.4	51075.00	17	14.4	25.1
Pennsylvania	40.7	13.6	53234.00	19.9	11.8	28.6
Rhode Island	39.8	14.8	18928.00	16.3	11.9	27.9
South Carolina	38.8	17.9	54891.00	21.5	18.1	28.6
South Dakota	36.6	14.1	45238.00	18.6	10	24.6
Tennessee	38.6	18.2	50979.00	24.2	15.5	28.4
Texas	34.3	17.2	44361.00	14.5	17.6	29.7
Utah	30.5	11.8	53035.00	9.7	14.3	25.1
Vermont	42.8	12.2	53657.00	16.4	9.1	26.8
Virginia	37.7	11.8	60922.00	19.5	13.1	27.2
Washington	37.5	13.2	54166.00	15.3	12.3	25.5
West Virginia	41.9	18.3	64902.00	26.7	16.5	34.3
Wisconsin	39.2	13.2	61366.00	17.4	10.6	28.8
Wyoming	36.6	10.6	41059.00	19.5	11.8	27.4
